FILENAME,IDENTITY
देखाउंछ.png,देखाउंछ
सामान्यीकरण.png,सामान्यीकरण
कति.png,कति
सम्यतु.png,सम्यतु
मध्येको.png,मध्येको
शि.png,शि
दे.png,दे
लू.png,लू
हुन्छ.png,हुन्छ
(सम्पन्न).png,(सम्पन्न)
परिवर्तनहरू.png,परिवर्तनहरू
बिक्री .png,बिक्री 
छैन.png,छैन
प्रेसमा.png,प्रेसमा
२.png,२
प्रतिवेदनमा.png,प्रतिवेदनमा
घि.png,घि
परिकल्पना.png,परिकल्पना
शे.png,शे
छौं.png,छौं
नं.png,नं
भएर.png,भएर
फौ.png,फौ
वा.png,वा
गरेर.png,गरेर
व्यवहारिक.png,व्यवहारिक
ली.png,ली
महिलामा.png,महिलामा
देखि.png,देखि
रुप.png,रुप
शास्त्रीहरुले.png,शास्त्रीहरुले
रहने.png,रहने
विषयहरूलाई.png,विषयहरूलाई
दिनु.png,दिनु
तथ्यांक.png,तथ्यांक
क्षेत्र.png,क्षेत्र
गहन.png,गहन
आयको.png,आयको
क्षो.png,क्षो
व्यवस्थाले.png,व्यवस्थाले
रा.png,रा
प्रकाशनहरू.png,प्रकाशनहरू
गे.png,गे
त्रुटी.png,त्रुटी
वः.png,वः
(मोडेल).png,(मोडेल)
ढी.png,ढी
टोलीका.png,टोलीका
दा.png,दा
घटेर.png,घटेर
अं.png,अं
कुरा.png,कुरा
सँग.png,सँग
छ .png,छ 
धि.png,धि
जा.png,जा
प्रयोजनका.png,प्रयोजनका
विकाशको.png,विकाशको
विश्वका.png,विश्वका
क्रमले.png,क्रमले
बाट.png,बाट
उदाहरणका.png,उदाहरणका
फेरि.png,फेरि
तरिकाहरूका.png,तरिकाहरूका
प्रति.png,प्रति
ढं.png,ढं
दुवै.png,दुवै
ङः.png,ङः
ज्ञो.png,ज्ञो
छापन.png,छापन
डौ.png,डौ
रूपमा.png,रूपमा
नो.png,नो
ठं.png,ठं
धै.png,धै
शहरीया.png,शहरीया
प्रतिवेदन.png,प्रतिवेदन
अपर्याप्त.png,अपर्याप्त
