FILENAME,IDENTITY
त्रुटिपूर्ण.png,त्रुटिपूर्ण
समुदायका.png,समुदायका
खालका.png,खालका
बीचको.png,बीचको
श्री.png,श्री
भन्दा.png,भन्दा
सामु.png,सामु
स्वास्नीमानिसहरूको.png,स्वास्नीमानिसहरूको
खौ.png,खौ
विक्रीयोग्य.png,विक्रीयोग्य
अधिराज्यनारका.png,अधिराज्यनारका
हौ.png,हौ
सदस्यहरू.png,सदस्यहरू
रूपमा.png,रूपमा
छौ.png,छौ
ञे.png,ञे
प्रतिवेदनमा.png,प्रतिवेदनमा
निर्यातकर्ताको.png,निर्यातकर्ताको
वो.png,वो
त्रे.png,त्रे
षी.png,षी
अन्तिम.png,अन्तिम
टः.png,टः
प्रष्ट.png,प्रष्ट
हर्षसाथ.png,हर्षसाथ
दिनु.png,दिनु
अंश.png,अंश
जस्को.png,जस्को
ये.png,ये
झैं.png,झैं
भएका.png,भएका
ल्याउने.png,ल्याउने
वी.png,वी
उत्पादक.png,उत्पादक
सक्ने.png,सक्ने
ऊ.png,ऊ
दैनिक.png,दैनिक
बड़ो.png,बड़ो
सं.png,सं
क्षः.png,क्षः
चरणले.png,चरणले
समाजमा.png,समाजमा
सञ्चालन.png,सञ्चालन
संख्यामा.png,संख्यामा
मो.png,मो
जै.png,जै
विश्वविद्यालय.png,विश्वविद्यालय
षे.png,षे
मन्ने.png,मन्ने
दोषहरूमा.png,दोषहरूमा
गै.png,गै
णा.png,णा
उत्पादनको.png,उत्पादनको
फू.png,फू
घि.png,घि
माध्यमबाट.png,माध्यमबाट
जहाँ.png,जहाँ
गर्दछ.png,गर्दछ
दृष्टिले.png,दृष्टिले
धः.png,धः
बढेको.png,बढेको
वस्तुहरू.png,वस्तुहरू
विश्लेषणहरूको.png,विश्लेषणहरूको
टा.png,टा
व्यवस्था.png,व्यवस्था
ठोस.png,ठोस
भएको.png,भएको
जी.png,जी
कार्यरत.png,कार्यरत
प्रशस्त.png,प्रशस्त
प्रश्नसूचक.png,प्रश्नसूचक
मल्टि-.png,मल्टि-
भो.png,भो
"बेरोजगारी,.png","बेरोजगारी,"
